expression,stem,dictionary form,present affirmative,present negative,past affirmative,past negative,volitional form,te form
大嫌い,,大嫌う,大嫌います,大嫌いません,大嫌いました,大嫌いませんでした,大嫌おう,大嫌いて
大好きな,,大好きぬ,大好きにます,大好きにません,大好きにました,大好きにませんでした,大好きのう,大好きんで
上京する,,上京する,上京すります,上京すりません,上京すりました,上京すりませんでした,上京すろう,上京すって
会う,あい,あう,あいます,あいません,あいました,あいませんでした,あいましょう,あって
聞く,きき,きく,聴きます,聴きません,ききました,ききませんでした,ききましょう,きいて
歌う,歌,歌う,歌います,歌いません,歌いました,歌いませんでした,歌おう,歌って
かぶる,かぶ,かぶる,かぶります,かぶりません,かぶりました,かぶりませんでした,かぶろう,かぶって
知る,,知る,知ります,知りません,知りました,知りませんでした,知ろう,知って
住む,住,住む,住みます,住みません,住みました,住みませんでした,住もう,住んで
太る,太,太る,太ります,太りません,太りました,太りませんでした,太ろう,太って
洗う,,洗う,洗います,洗いません,洗いました,洗いませんでした,洗おう,洗って
言う,,言う,言います,言いません,言いました,言いませんでした,言おう,言って
着る,着,着る,着ます,着ません,着ました,着ませんでした,着よう,着て
いる,い,いる,います,いません,いました,いませんでした,いましょう,いて
勤める,勤め,勤める,勤めます,勤めません,勤めました,勤めませんでした,勤めよう,勤めて
遅くなる,,遅くなる,遅くなります,遅くなりません,遅くなりました,遅くなりませんでした,遅くなろう,遅くなって
やせる,やせ,やせる,やせます,やせません,やせました,やせませんでした,やせよう,やせて
思う,,思う,思います,思いません,思いました,思いませんでした,思おう,思って
切る,切,切る,切ります,切りません,切りました,切りませんでした,切ろう,切って
結婚する,,結婚する,結婚すります,結婚すりません,結婚すりました,結婚すりませんでした,結婚すろう,結婚すって
持っていく,,持っていく,持っていきます,持っていきません,持っていきました,持っていきませんでした,持っていこう,持っていって
じろじろ見る,,じろじろ見る,じろじろ見ます,じろじろ見ません,じろじろ見ました,じろじろ見ませんでした,じろじろ見よう,じろじろ見て
始める,始め,始める,始めます,始めません,始めました,始めませんでした,始めよう,始めて
洗濯する,,洗濯する,洗濯すります,洗濯すりません,洗濯すりました,洗濯すりませんでした,洗濯すろう,洗濯すって
思い出す,,思い出す,思い出します,思い出しません,思い出しました,思い出しませんでした,思い出そう,思い出して
帰る,かえり,帰る,帰ります,帰りません,帰りました,帰りませでした,かえりましょう,かえって
入れる,入れ,入れる,入れます,入れません,入れました,入れませんでした,入れよう,入れて
作る,作,作る,作ります,作りません,作りました,作りませんでした,作ろう,作って
仕える,仕え,仕える,仕えます,仕えません,仕えました,仕えませんでした,仕えよう,仕えて
捨てる,捨て,捨てる,捨てます,捨てません,捨てました,捨てませんでした,捨てよう,捨てて
運転する,,運転する,運転すります,運転すりません,運転すりました,運転すりませんでした,運転すろう,運転すって
掃除する,,掃除する,掃除すります,掃除すりません,掃除すりました,掃除すりませんでした,掃除すろう,掃除すって
電話する,,電話する,電話すります,電話すりません,電話すりました,電話すりませんでした,電話すろう,電話すって
料理する,,料理する,料理すります,料理すりません,料理すりました,料理すりませんでした,料理すろう,料理すって
休む,やす,休む,やすみます,やすみません,やすみました,やすみません でした,やすみましょう,やすんで
喜ぶ,,喜ぶ,喜びます,喜びません,喜びました,喜びませんでした,喜ぼう,喜んで
怒る,,怒る,怒ります,怒りません,怒りました,怒りませんでした,怒ろう,怒って
悲しむ,,悲しむ,悲しみます,悲しみません,悲しみました,悲しみませんでした,悲しもう,悲しんで
楽しむ,,楽しむ,楽しみます,楽しみません,楽しみました,楽しみませんでした,楽しもう,楽しんで
妬む,,妬む,妬みます,妬みません,妬みました,妬みませんでした,妬もう,妬んで
驚く,,驚く,驚きます,驚きません,驚きました,驚きませんでした,驚こう,驚いて
苦しむ,,苦しむ,苦しみます,苦しみません,苦しみました,苦しみませんでした,苦しもう,苦しんで
悩む,,悩む,悩みます,悩みません,悩みました,悩みませんでした,悩もう,悩んで
戸惑う,,戸惑う,戸惑います,戸惑いません,戸惑いました,戸惑いませんでした,戸惑おう,戸惑って
来ます,,来ます,来まします,来ましません,来ましました,来ましませんでした,来まそう,来まして
運動する,,運動する,運動すります,運動すりません,運動すりました,運動すりませんでした,運動すろう,運動すって
散歩する,,散歩する,散歩すります,散歩すりません,散歩すりました,散歩すりませんでした,散歩すろう,散歩すって
話す,はなし,はなす,話します,話しません,話しました,話しませんでした,はなしましょう,はなして
薬を飲む,,薬を飲む,薬を飲みます,薬を飲みません,薬を飲みました,薬を飲みませんでした,薬を飲もう,薬を飲んで
踊る,,踊る,踊ります,踊りません,踊りました,踊りませんでした,踊ろう,踊って
人気がある,,人気がある,人気があります,人気がありません,人気がありました,人気がありませんでした,人気があろう,人気があって
弾く,,弾く,弾きます,弾きません,弾きました,弾きませんでした,弾こう,弾いて
もらう,,もらう,もらいます,もらいません,もらいました,もらいませんでした,もらおう,もらって
覚える,,覚える,覚えます,覚えません,覚えました,覚えませんでした,覚えよう,覚えて
出る,出,出る,出ます,出ません,出ました,出ませんでした,出よう,出て
掛ける,,掛ける,掛けます,掛けません,掛けました,掛けませんでした,掛けよう,掛けて
かかる,,かかる,かかります,かかりません,かかりました,かかりませんでした,かかろう,かかって
泊まる,,泊まる,泊まります,泊まりません,泊まりました,泊まりませんでした,泊まろう,泊まって
なる,,なる,なります,なりません,なりました,なりませんでした,なろう,なって
決める,,決める,決めます,決めません,決めました,決めませんでした,決めよう,決めて
ごろごろする,,ごろごろする,ごろごろすります,ごろごろすりません,ごろごろすりました,ごろごろすりませんでした,ごろごろすろう,ごろごろすって
旅行する,,旅行する,旅行すります,旅行すりません,旅行すりました,旅行すりませんでした,旅行すろう,旅行すって
練習する,,練習する,練習すります,練習すりません,練習すりました,練習すりませんでした,練習すろう,練習すって
移住する,,移住する,移住すります,移住すりません,移住すりました,移住すりませんでした,移住すろう,移住すって
売る,,売る,売ります,売りません,売りました,売りませんでした,売ろう,売って
買う,かい,かう,かいます,かいません,かいました,かいませんでした,かいましょう,かって
立つ,た,立つ,たちます,たちません,たちました,たちませんでし た,たちましょう,たって
持つ,も,持つ,もちます,もちません,もちました,もちませんでし た,もちましょう,もって
困る,,困る,困ります,困りません,困りました,困りませんでした,困ろう,困って
好きな,,好きぬ,好きにます,好きにません,好きにました,好きにませんでした,好きのう,好きんで
うそをつく,,うそをつく,うそをつきます,うそをつきません,うそをつきました,うそをつきませんでした,うそをつこう,うそをついて
飼う,,飼う,飼います,飼いません,飼いました,飼いませんでした,飼おう,飼って
サボる,サボ,サボる,サボります,サボりません,サボりました,サボりませんでした,サボろう,サボって
取る,取,取る,取ります,取りません,取りました,取りませんでした,取ろう,取って
習う,習,習う,習います,習いません,習いました,習いませんでした,習おう,習って
登る,登,登る,登ります,登りません,登りました,登りませんでした,登ろう,登って
疲れる,,疲れる,疲れます,疲れません,疲れました,疲れませんでした,疲れよう,疲れて
やめる,やめ,やめる,やめます,やめません,やめました,やめませんでした,やめよう,やめて
けんかする,,けんかする,けんかすります,けんかすりません,けんかすりました,けんかすりませんでした,けんかすろう,けんかすって
紹介する,,紹介する,紹介すります,紹介すりません,紹介すりました,紹介すりませんでした,紹介すろう,紹介すって
ダイエットする,,ダイエットする,ダイエットすります,ダイエットすりません,ダイエットすりました,ダイエットすりませんでした,ダイエットすろう,ダイエットすって
遅刻する,,遅刻する,遅刻すります,遅刻すりません,遅刻すりました,遅刻すりませんでした,遅刻すろう,遅刻すって
留学する,,留学する,留学すります,留学すりません,留学すりました,留学すりませんでした,留学すろう,留学すって
映る,映,映る,映ります,映りません,映りました,映りませんでした,映ろう,映って
勉強する,し,べんきょうする,勉強します,勉強しません,勉強しまた,勉強しませんでした,べんきょう しましょう,べんきょうして
勉める,勉め,勉める,勉めます,勉めません,勉めました,勉めませんでした,勉めよう,勉めて
起きる,おき,おきる,起きます,起きません,起きました,起きませんでした,おきましょう,おきて
上る,のぼ,のぼる,のぼります,のぼりません,のぼりました,のぼりませんでした,のぼりましょう,のぼって
行く,いき,いく,行きます,行きません,いきました,いきませんでした,いきましょう,いって　
飲む,のみ,のむ,飲みます,飲みません,飲みました,飲みませんでした,のみましょう,のんで
読む,よみ,よむ,よみます,よみません,よみました,よみませんでした,よみましょう,よんで
食べる,食べ,たべる,食べます,食べません,食べました,食べませんでした,たべましょう,たべて
寝る,ね,ねる,寝ます,寝ません,寝ました,寝ませんでした,ねましょう,ねて
見る,み,みる,見ます,見ません,見ました,見ませんでした,みましょう,みて
来る,き,くる,きます,きません,きました,きませんでした,きましょう,きて
する,し,する,します,しません,しました,しませんでした,しましょう,して
有る,あり,ある,あります,ありません,ありました,ありませんでした,ありましょう,あって
書く,かき,かく,かきます,かきますん,かきました,かきませんでした,かきましょう,かいて
わかる,わかり,わかる,わかります,わかりません,わかりました,わかりませんでした,わかりましょう,わかって
撮る,とり,とる,とります,とりません,とりました,とりませんでした,とりましょう,とって
待つ,まち,まつ,まちます,まちません,まちました,まちませんでした,まちましょう,まって
泳ぐ,およ,およぐ,泳ぎます,泳ぎません,泳ぎました,泳ぎませんでした,およぎましょう,およいで
乗る,の,のる,乗ります,乗りません,乗りました,乗りませんでした,のりましょう,のって
やる,やり,やる,やります,やりません,やりました,やりませんでした,やりましょう,やって
出かける,出かけ,でかける,出かけます,出かけません,出かけました,出かけませんでした,でかけましょう,でかけて
遊ぶ,あそ,遊ぶ,あそびます,あそびません,あそびました,あそびません でした,あそびましょう,あそんで
急ぐ,いそ,急ぐ,いそぎます,いそぎません,いそぎました,いそぎません でした,いそぎましょう,いそいで
お風呂に入る,おふろ に はい,お風呂に入る,おふろに はいります,おふろにはいりません,おふろに はいりました,おふろに はいりません でした,おふろにはいりましょう,おふろに
返す,かえ,返す,かえします,かえしません,かえしました,かえしませんで した,かえしましょう,かえして
消す,け,消す,けします,けしません,けしました,けしません でした,けしましょう,けして
死ぬ,し,死ぬ,しにます,しにません,しにました,しにません でした,しにましょう,しんで
座る,すわ,座る,すわります,すわりません,すわりました,すわりません でした,すわりましょう,すわって
たばこを吸う,す,たばこを吸う,たばこを すいます,たばこを すいません,すいました,すいません でした,すいましょう,すって
使う,つか,使う,つかいます,つかいません,つかいました,つかいません でした,つかいましょう,つかって
手伝う,てつだ,手伝う,てつだいます,てつだいませ ん,てつだいまし た,てつだいませ んでした,てつだいましょ う,てつだって
入る,はい,入る,はいります,はいりません,はいりました,はいりません でした,はいりましょう,はいって
開ける,あけ,開ける,あけます,あけません,あけました,あけませんでし た,あけましょう,あけて
教える,おしえ,教える,おしえます,おしえません,おしえました,おしえませんで した,おしえましょう,おしえて
降りる,おり,降りる,おります,おりません,おりました,おりませんでし た,おりましょう,おりて
借りる,かり,借りる,かります,かりません,かりました,かりませんでした,かりましょう,かりて
閉める,しめ,閉める,しめます,しめません,しめました,しめませんでし た,しめましょう,しめて
シャワーを浴びる,あび,シャワーを浴びる,あびます,あびません,あびました,あびませんでした,あびましょう,あびて
つける,つけ,つける,つけます,つけません,つけました,つけませんでした,つけましょう,つけて
電話をかける,かけ,電話をかける,でんわをかけます,かけません,かけました,かけませんでした,かけましょう,かけて
忘れる,わすれ,忘れる,わすれます,わすれません,わすれました,わすれませんでした,わすれましょう,わすれて
連れてくる,つれて(く),連れてくる,連れてきます,連れてきません,連れてきました,連れてきませんでした,つれてきましょ う,つれてきて
持ってくる,もって(く),持ってくる,持ってきます,持ってきません,持ってきました,持ってきませんでした,もってきましょう,もってきて
出す,出,出す,出します,出しません,出しました,出しませんでした,出そう,出して
分ける,分け,分ける,分けます,分けません,分けました,分けませんでした,分けよう,分けて
生まれる,生ま,生まれる,生まれます,生まれません,生まれました,生まれませんでした,生まれよう,生まれて
学ぶ,学,学ぶ,学びます,学びません,学びました,学びませんでした,学ぼう,学んで
