guid,radical,radical number,numbers of strokes,alternative,meaning,reading,tags
iK2~s+SqC!,水,85,4,氵、氺<br>Example: 水 永 泳 決 治 海 演 漢 瀬,Water,みず・したみず・さんずい,Japanese::Kanji::Radicals
bE*>q6twKc,人,9,2,亻、𠆢<br>Example: 仁休位今,Human,ひと・にんべん・ひとやね,Japanese::Kanji::Radicals
hUaYzt.|Sl,手,64,4,扌、龵<br>Example: 手 才 挙 拜 拳 掌 掣 擧 (持 掛 打 批 技 抱 押),Hand,て・てへん,Japanese::Kanji::Radicals
ECn~ysvyqj,木,75,4,(None)<br>Example: 木 杢 板 相 根 森 楽 機 末 本 杉 林,Tree,き・きへん,Japanese::Kanji::Radicals
xtQ|:~+#Zd,心,61,4,忄、⺗<br>Example: 必忙忌性悪情想,Heart,こころ・したごころ・りっしんべん,Japanese::Kanji::Radicals
h)JZ$(qA|1,口,30,3,"(None)<br>Example: 口古可名君否呉告周味命和哲唐善器<br><br><span style=""color: rgb(26, 26, 27);"">Mouth is one little square that appears in lots of different places in a Kanji like 語, while enclosure is a big square that wraps around the entire Kanji like 国.</span>","Mouth, Opening",くち・くちへん,Japanese::Kanji::Radicals
yD(/qZ{9LS,言,149,7,訁<br>Example: 誁 詋 詔 評 詗 詥 試 詧,Speech,いう・げん・ごんべん・ことば,Japanese::Kanji::Radicals
z??(2w!QCn,糸,120,6,糹<br>Example: 系 級 紙 素 細 組 終 絵 紫,"Thread, String",いと・いとへん,Japanese::Kanji::Radicals
tBJ_/79+Vo,辵,162,7,⻌、辶<Br />Example: 巡 迎 通 追 逃 迎 進,Walk,しんにょう・しんにゅう,Japanese::Kanji::Radicals
g9Kji7K^R,土,32,3,(None)<br>Example: 土在地型城場壁壓,Earth,つち・つちへん・どへん,Japanese::Kanji::Radicals
e0CbWMBxMy,艸,140,6,艹、䒑<br>Example: 共 花(37) 英 苦 草 茶 落 幕 靴 鞄 薬,"Grass, Vegetation",くさ・くさかんむり,Japanese::Kanji::Radicals
oBRT8Y{eCk,肉,130,6,⺼、月<br>Example: 肉 肖 股 胃 腅 脤,Meat,にく・にくづき,Japanese::Kanji::Radicals
kL$C3+s`Di,阜,170,8,阝、⻖<br>Example: 阪 防 阻 陆 陘 院 险 陳,"Mound, Dam",こざと・こざとへん・おか・ぎふのふ,Japanese::Kanji::Radicals
eWC0scEuIR,日,72,4,(None)<br>Example: 日白百明的映時晩,"Sun, Day",ひ・ひへん・にち・にちへん,Japanese::Kanji::Radicals
KzvNGa]_}I,女,38,3,(None)<br>Example: 女好妄妻姉始姓姫,"Woman, Female",おんな・おんなへん,Japanese::Kanji::Radicals
mY`G?_1Pi=,宀,40,3,(None)<br>Example: 守家寒實,Roof,うかんむり,Japanese::Kanji::Radicals
FER#RuR{0q,貝,154,7,(None)<br>Example: 財 賊 賜 贛 貧 貨 貫 貿,Shell,かい・かいへん・こがい,Japanese::Kanji::Radicals
QeGHFyzon1,金,167,8,釒<br>Example: 銀 銅 釘 銳 鋞 鋙 鉒 鉍 鉗 鈡 鈠,"Metal, Gold",かね・かねへん,Japanese::Kanji::Radicals
QfO:nbQZl4,刀,18,2,刂、⺈<br>Example: 刀分切初利刻則前,"Knife, Sword",かたな・りっとう,Japanese::Kanji::Radicals
"v,+lh!i{&P",火,86,4,灬<br>Example: 火 灯 毯 爆 (烈 烹 焦 然 煮),Fire,ひ・ひへん・れっか・れんが,Japanese::Kanji::Radicals
Q%Av:I%)UW,竹,118,6,⺮<br>Example: 竺 笑 第 等 簡,Bamboo,たけ・たけかんむり,Japanese::Kanji::Radicals
k_<6sBf*y4,力,19,2,(None)<br>Example: 力加助勉,"Power, Force",ちから・りきづくり,Japanese::Kanji::Radicals
"b<(xA,C;xk",禾,115,5,(None)<br>Example: 利 私 季 和 科 香 秦 穀,Two-Branch Tree,のぎ・のぎへん,Japanese::Kanji::Radicals
p)^#%8M~LJ,頁,181,9,(None)<br>Example: 頃 項 順 須 領 頭 頩 頂,Big Shell,おおがい・いちのかい,Japanese::Kanji::Radicals
y>4hEj`:O~,衣,145,6,衤<br>Example: 衣 装 裁 (初 被 複),Clothes,ころも・ころもへん,Japanese::Kanji::Radicals
"r5CKdbF/,=",彳,60,3,(None)<br>Example: 役彼後得徳徼,Step,ぎょうにんべん,Japanese::Kanji::Radicals
zqZAU#kpiU,田,102,5,(None)<br>Example: 田 町 思 留 略 番,Field,た・たへん,Japanese::Kanji::Radicals
mP0_}a8v0/,目,109,5,(None)<br>Example: 目 見 具 省 眠 眼 観 覧,Eye,め・めへん・よこめ,Japanese::Kanji::Radicals
KIYUD[@r)Y,大,37,3,(None)<br>Example: 大天奈奧,"Big, Very",だい・おおきい,Japanese::Kanji::Radicals
c:)?cB$%_!,巾,50,3,(None)<br>Example: 市布帝常,"Turban, Scarf",はば・はばへん・きんべん,Japanese::Kanji::Radicals
hS.Cu@Zt]Z,广,53,3,(None)<br>Example: 序店府度座庭廣廳,Dotted Cliff,まだれ,Japanese::Kanji::Radicals
DSJ8+DZxKb,犬,94,4,犭<br>Example: 犬 犯 狂 狙 狗 献 獣,Dog,いぬ・けものへん,Japanese::Kanji::Radicals
Mi=u_k#pr,一,1,1,(None)<br>Example: 七三丈不丘世,One,いち,Japanese::Kanji::Radicals
h^1IeJ;4)v,山,46,3,(None)<br>Example: 山岡岩島,Mountain,やま・やまへん・やまかんむり,Japanese::Kanji::Radicals
cV|sO};0!7,攵,66,4,攴<br>Example: 收敍數斅,"Strike, Whip",ぼくにょう・ぼくづくり・とまた・のぶん・しぶん,"Japanese::Kanji::Radicals, leech"
nl8l>vXNu3,石,112,5,(None)<br>Example: 石 岩 砂 破 碑 碧,Stone,いし・いしへん,Japanese::Kanji::Radicals
iHf?5uHn5K,尸,44,3,(None)<br>Example: 尺局,Corpse,しかばね・かばね・かばねだれ,"Japanese::Kanji::Radicals, leech"
"G>/,$^(q)v",玉,96,5,王、玊、⺩<Br />Example: 王 玉 主 弄 皇 理 差 聖,"Ball, Jade; King",玉: たま・たまへん; 王: おう・おうへん・あうさま,Japanese::Kanji::Radicals
"Mc,GFXP5Ps",疒,104,5,(None)<br>Example: 病 症 痛 癌 癖,Sickness,やまい・やまいだれ,Japanese::Kanji::Radicals
IMs1ZQn!MX,示,113,5,礻<br>Example: 示 奈 祭 禁 礼 社 神 視 福,"Altar, Display",しめす・しめすへん,Japanese::Kanji::Radicals
E5)a#K]}Mc,車,159,7,(None)<br>Example: 軌 軟 較 軍 載,"Cart, Car",くるま・くるまへん,Japanese::Kanji::Radicals
BDWN_#hHYX,酉,164,7,(None)<br>Example: 酒　醉 油 醒 酸,Sake (Rice-Based Alcoholic Beverage),とり・とりへん・ひよみのとり・さけのとり,Japanese::Kanji::Radicals
Np)!s:V0Qr,雨,173,8,⻗<br>Example: 雾 霜 雪 霸 雲 霧,Rain,あめ・あめかんむり・あまかんむり,Japanese::Kanji::Radicals
"m|aJ,/~=u~",囗,31,3,"(None)<br>Example: 四回國圖<br><br><span style=""color: rgb(26, 26, 27);"">Mouth is one little square that appears in lots of different places in a Kanji like 語, while enclosure is a big square that wraps around the entire Kanji like 国.</span>",Enclosure,くに・くにがまえ,Japanese::Kanji::Radicals
xlX$2>DkX&,寸,41,3,(None)<br>Example: 寸寺尊將,Sun (Unit Of Measurement),すん・すんづくり,"Japanese::Kanji::Radicals, leech"
"p:F,WW;j=S",食,184,9,飠<br>Example: 飯 飲 餓 餘 餐 養,"Eat, Food",しょく・しょくへん,Japanese::Kanji::Radicals
g_M)9h&^fH,十,24,2,(None)<br>Example: 十千午半博,"Ten, Complete",じゅう・じゅうへん,Japanese::Kanji::Radicals
